,0,1,2
0,restaurant,0.11946902654867257,0.5575221238938053
1,monastery_outdoor,0.12560386473429952,0.5990338164251208
2,museum_indoor,0.14871794871794872,0.6717948717948717
3,harbor,0.1691542288557214,0.7512437810945274
4,mountain,0.17766497461928935,0.766497461928934
5,food_court,0.1782178217821782,0.5841584158415841
6,coffee_shop,0.18627450980392157,0.5931372549019608
7,bridge,0.18877551020408162,0.5663265306122449
8,construction_site,0.2376237623762376,0.6633663366336634
9,courtyard,0.2751322751322751,0.656084656084656
10,hot_spring,0.29381443298969073,0.6907216494845361
11,classroom,0.296875,0.7864583333333334
12,palace,0.29896907216494845,0.8041237113402062
13,yard,0.2994652406417112,0.7807486631016043
14,office,0.33175355450236965,0.7677725118483413
15,bookstore,0.3402061855670103,0.6030927835051546
16,valley,0.3440366972477064,0.7889908256880734
17,coast,0.35096153846153844,0.7836538461538461
18,bar,0.35175879396984927,0.6683417085427136
19,lobby,0.3592233009708738,0.7524271844660194
20,river,0.3617021276595745,0.8297872340425532
21,candy_store,0.37037037037037035,0.7685185185185185
22,botanical_garden,0.3778801843317972,0.8341013824884793
23,beauty_salon,0.3854748603351955,0.7932960893854749
24,rainforest,0.38860103626943004,0.8601036269430051
25,church_outdoor,0.4126984126984127,0.7936507936507936
26,volcano,0.4175257731958763,0.8092783505154639
27,dam,0.417910447761194,0.7562189054726368
28,canyon,0.418848167539267,0.7905759162303665
29,abbey,0.4225352112676056,0.7934272300469484
30,slum,0.43147208121827413,0.7411167512690355
31,kitchen,0.43283582089552236,0.681592039800995
32,auditorium,0.44495412844036697,0.8211009174311926
33,fountain,0.44505494505494503,0.6978021978021978
34,chalet,0.44776119402985076,0.8109452736318408
35,fire_station,0.45023696682464454,0.8056872037914692
36,clothing_store,0.455,0.72
37,bathroom,0.45918367346938777,0.8928571428571429
38,living_room,0.45982142857142855,0.8973214285714286
39,bakery_shop,0.46153846153846156,0.7836538461538461
40,airport_terminal,0.465,0.805
41,butchers_shop,0.4742268041237113,0.7835051546391752
42,hospital_room,0.4827586206896552,0.8029556650246306
43,assembly_line,0.484304932735426,0.7668161434977578
44,dining_room,0.4900990099009901,0.801980198019802
45,market_outdoor,0.49074074074074076,0.7777777777777778
46,amusement_park,0.4947916666666667,0.7083333333333334
47,conference_room,0.5,0.7626262626262627
48,parking_lot,0.5,0.8379629629629629
49,badlands,0.5050505050505051,0.8282828282828283
50,stage_indoor,0.5082872928176796,0.7790055248618785
51,trench,0.5132275132275133,0.7301587301587301
52,ballroom,0.5159574468085106,0.7872340425531915
53,banquet_hall,0.5260416666666666,0.78125
54,martial_arts_gym,0.5276381909547738,0.8291457286432161
55,locker_room,0.5301204819277109,0.8192771084337349
56,supermarket,0.5318181818181819,0.8181818181818182
57,driveway,0.5643564356435643,0.8861386138613861
58,temple_east_asia,0.5714285714285714,0.8148148148148148
59,kindergarden_classroom,0.5756097560975609,0.8195121951219512
60,highway,0.5789473684210527,0.8473684210526315
61,playground,0.5821596244131455,0.8779342723004695
62,campsite,0.5898876404494382,0.8033707865168539
63,cemetery,0.6102564102564103,0.8358974358974359
64,shower,0.6136363636363636,0.9318181818181818
65,ski_slope,0.6161616161616161,0.8181818181818182
66,ice_skating_rink_outdoor,0.6256410256410256,0.841025641025641
67,boat_deck,0.6292682926829268,0.848780487804878
68,stadium_football,0.6308411214953271,0.9205607476635514
69,staircase,0.6321243523316062,0.844559585492228
70,lighthouse,0.6350710900473934,0.7914691943127962
71,laundromat,0.6359223300970874,0.8058252427184466
72,aqueduct,0.6428571428571429,0.8351648351648352
73,phone_booth,0.6497695852534562,0.8202764976958525
74,swamp,0.6528497409326425,0.8808290155440415
75,railroad_track,0.6553398058252428,0.8058252427184466
76,golf_course,0.6612903225806451,0.8602150537634409
77,art_gallery,0.6630434782608695,0.8913043478260869
78,amphitheater,0.6680161943319838,0.8582995951417004
79,shed,0.679144385026738,0.8983957219251337
80,rock_arch,0.6938775510204082,0.8112244897959183
81,skyscraper,0.6954545454545454,0.8454545454545455
82,gas_station,0.696078431372549,0.9068627450980392
83,subway_station_platform,0.7121212121212122,0.9242424242424242
84,baseball_field,0.7163461538461539,0.8846153846153846
85,desert_sand,0.725,0.905
86,aquarium,0.7286432160804021,0.8894472361809045
87,boxing_ring,0.7377049180327869,0.9016393442622951
88,bedroom,0.7621359223300971,0.9563106796116505
89,racecourse,0.7638190954773869,0.9095477386934674
90,runway,0.7684210526315789,0.8894736842105263
91,bamboo_forest,0.7761904761904762,0.9619047619047619
92,swimming_pool_outdoor,0.7766990291262136,0.9320388349514563
93,iceberg,0.7772020725388601,0.9378238341968912
94,corn_field,0.7821782178217822,0.9158415841584159
95,bowling_alley,0.8066037735849056,0.9009433962264151
96,corridor,0.8146341463414634,0.9414634146341463
97,track_outdoor,0.8367346938775511,0.9489795918367347
98,bus_interior,0.8870967741935484,0.946236559139785
99,cockpit,0.8984771573604061,0.9644670050761421
100,Total,0.5174000263214111,0.8093500137329102
