,0,1,2
0,restaurant,0.2168141592920354,0.7256637168141593
1,monastery_outdoor,0.2560386473429952,0.8115942028985508
2,museum_indoor,0.28205128205128205,0.7743589743589744
3,valley,0.3073394495412844,0.8761467889908257
4,mountain,0.3147208121827411,0.8527918781725888
5,coffee_shop,0.3480392156862745,0.8333333333333334
6,yard,0.3689839572192513,0.8502673796791443
7,river,0.3829787234042553,0.9148936170212766
8,canyon,0.387434554973822,0.8586387434554974
9,palace,0.3917525773195876,0.8762886597938144
10,courtyard,0.4021164021164021,0.8306878306878307
11,food_court,0.40594059405940597,0.7821782178217822
12,bridge,0.4336734693877551,0.8061224489795918
13,church_outdoor,0.43915343915343913,0.8518518518518519
14,bar,0.45226130653266333,0.7638190954773869
15,candy_store,0.4583333333333333,0.8240740740740741
16,lobby,0.46601941747572817,0.8592233009708737
17,market_outdoor,0.4675925925925926,0.8009259259259259
18,coast,0.47596153846153844,0.8605769230769231
19,rainforest,0.47668393782383417,0.917098445595855
20,beauty_salon,0.48044692737430167,0.8044692737430168
21,botanical_garden,0.4838709677419355,0.8663594470046083
22,driveway,0.49504950495049505,0.9108910891089109
23,harbor,0.4975124378109453,0.8805970149253731
24,construction_site,0.5,0.8118811881188119
25,bathroom,0.5204081632653061,0.9489795918367347
26,abbey,0.5305164319248826,0.8826291079812206
27,hot_spring,0.5412371134020618,0.8917525773195877
28,trench,0.544973544973545,0.8095238095238095
29,stage_indoor,0.5469613259668509,0.856353591160221
30,classroom,0.5572916666666666,0.90625
31,parking_lot,0.5601851851851852,0.8703703703703703
32,amusement_park,0.5677083333333334,0.8229166666666666
33,living_room,0.5758928571428571,0.8928571428571429
34,office,0.5781990521327014,0.8957345971563981
35,bakery_shop,0.5817307692307693,0.9038461538461539
36,temple_east_asia,0.5873015873015873,0.8888888888888888
37,clothing_store,0.605,0.855
38,chalet,0.6069651741293532,0.900497512437811
39,volcano,0.6288659793814433,0.9278350515463918
40,boat_deck,0.6292682926829268,0.9121951219512195
41,kindergarden_classroom,0.6292682926829268,0.9024390243902439
42,playground,0.6338028169014085,0.8497652582159625
43,airport_terminal,0.65,0.905
44,conference_room,0.6616161616161617,0.9343434343434344
45,ballroom,0.6648936170212766,0.9095744680851063
46,locker_room,0.6686746987951807,0.8734939759036144
47,art_gallery,0.6739130434782609,0.8695652173913043
48,dam,0.6766169154228856,0.8606965174129353
49,supermarket,0.6772727272727272,0.9227272727272727
50,desert_sand,0.685,0.925
51,amphitheater,0.6882591093117408,0.8704453441295547
52,banquet_hall,0.6927083333333334,0.9479166666666666
53,hospital_room,0.6945812807881774,0.9014778325123153
54,fire_station,0.6966824644549763,0.8909952606635071
55,butchers_shop,0.7010309278350515,0.8917525773195877
56,fountain,0.7032967032967034,0.8846153846153846
57,golf_course,0.7096774193548387,0.9032258064516129
58,shower,0.7102272727272727,0.9602272727272727
59,highway,0.7263157894736842,0.8631578947368421
60,assembly_line,0.7309417040358744,0.9237668161434978
61,ski_slope,0.7323232323232324,0.8888888888888888
62,staircase,0.7357512953367875,0.8911917098445595
63,skyscraper,0.7363636363636363,0.8954545454545455
64,badlands,0.7373737373737373,0.9292929292929293
65,slum,0.7411167512690355,0.9187817258883249
66,aqueduct,0.7417582417582418,0.9285714285714286
67,swamp,0.7461139896373057,0.9481865284974094
68,dining_room,0.7524752475247525,0.9108910891089109
69,martial_arts_gym,0.7537688442211056,0.9396984924623115
70,corridor,0.7609756097560976,0.9317073170731708
71,auditorium,0.7614678899082569,0.963302752293578
72,shed,0.7647058823529411,0.9411764705882353
73,subway_station_platform,0.7676767676767676,0.9444444444444444
74,corn_field,0.7772277227722773,0.9257425742574258
75,cemetery,0.7794871794871795,0.9076923076923077
76,campsite,0.7865168539325843,0.9157303370786517
77,bowling_alley,0.7877358490566038,0.9245283018867925
78,ice_skating_rink_outdoor,0.7897435897435897,0.9230769230769231
79,rock_arch,0.7959183673469388,0.9081632653061225
80,lighthouse,0.8009478672985783,0.9241706161137441
81,railroad_track,0.8009708737864077,0.9223300970873787
82,phone_booth,0.8064516129032258,0.9124423963133641
83,aquarium,0.8090452261306532,0.9246231155778895
84,bookstore,0.8092783505154639,0.9175257731958762
85,kitchen,0.8109452736318408,0.9253731343283582
86,gas_station,0.8186274509803921,0.9754901960784313
87,laundromat,0.8203883495145631,0.9368932038834952
88,iceberg,0.8290155440414507,0.9430051813471503
89,boxing_ring,0.8360655737704918,0.9508196721311475
90,baseball_field,0.8413461538461539,0.9615384615384616
91,racecourse,0.8442211055276382,0.9346733668341709
92,stadium_football,0.8457943925233645,0.9906542056074766
93,bedroom,0.8543689320388349,0.9368932038834952
94,bamboo_forest,0.8761904761904762,1.0
95,swimming_pool_outdoor,0.883495145631068,0.9854368932038835
96,runway,0.8842105263157894,0.9526315789473684
97,cockpit,0.8984771573604061,0.9746192893401016
98,track_outdoor,0.9132653061224489,0.9693877551020408
99,bus_interior,0.9139784946236559,0.9623655913978495
100,Total,0.6431499719619751,0.8962000012397766
