,0,1,2
0,museum_indoor,0.18974358974358974,0.7282051282051282
1,valley,0.22477064220183487,0.8348623853211009
2,river,0.23404255319148937,0.7712765957446809
3,monastery_outdoor,0.2560386473429952,0.7681159420289855
4,restaurant,0.26991150442477874,0.7654867256637168
5,yard,0.27807486631016043,0.7647058823529411
6,palace,0.31443298969072164,0.8350515463917526
7,beauty_salon,0.31843575418994413,0.7374301675977654
8,mountain,0.3248730964467005,0.8426395939086294
9,bar,0.32663316582914576,0.7185929648241206
10,courtyard,0.328042328042328,0.798941798941799
11,coffee_shop,0.3480392156862745,0.7696078431372549
12,food_court,0.3564356435643564,0.7772277227722773
13,office,0.36018957345971564,0.7535545023696683
14,bridge,0.37755102040816324,0.7551020408163265
15,canyon,0.4031413612565445,0.8429319371727748
16,driveway,0.40594059405940597,0.806930693069307
17,classroom,0.421875,0.8385416666666666
18,abbey,0.4225352112676056,0.8591549295774648
19,botanical_garden,0.42857142857142855,0.8341013824884793
20,coast,0.4375,0.7980769230769231
21,hot_spring,0.4381443298969072,0.8195876288659794
22,supermarket,0.4409090909090909,0.8681818181818182
23,lobby,0.441747572815534,0.8786407766990292
24,construction_site,0.4504950495049505,0.7772277227722773
25,rainforest,0.45077720207253885,0.8238341968911918
26,church_outdoor,0.4708994708994709,0.8624338624338624
27,art_gallery,0.483695652173913,0.782608695652174
28,candy_store,0.4861111111111111,0.7916666666666666
29,harbor,0.48756218905472637,0.8656716417910447
30,volcano,0.4896907216494845,0.8814432989690721
31,living_room,0.4955357142857143,0.8258928571428571
32,bakery_shop,0.5,0.8365384615384616
33,temple_east_asia,0.5026455026455027,0.798941798941799
34,playground,0.5117370892018779,0.7511737089201878
35,amusement_park,0.5208333333333334,0.796875
36,locker_room,0.5240963855421686,0.8132530120481928
37,stage_indoor,0.5248618784530387,0.8397790055248618
38,airport_terminal,0.525,0.825
39,parking_lot,0.5370370370370371,0.8379629629629629
40,shower,0.5454545454545454,0.9545454545454546
41,market_outdoor,0.5462962962962963,0.8333333333333334
42,boat_deck,0.5463414634146342,0.8585365853658536
43,assembly_line,0.5560538116591929,0.8385650224215246
44,hospital_room,0.5566502463054187,0.8226600985221675
45,slum,0.5583756345177665,0.8274111675126904
46,clothing_store,0.56,0.775
47,trench,0.5661375661375662,0.8624338624338624
48,butchers_shop,0.5721649484536082,0.8556701030927835
49,banquet_hall,0.5729166666666666,0.8802083333333334
50,conference_room,0.5808080808080808,0.8888888888888888
51,chalet,0.5870646766169154,0.8706467661691543
52,campsite,0.5898876404494382,0.797752808988764
53,martial_arts_gym,0.592964824120603,0.8542713567839196
54,ballroom,0.5957446808510638,0.898936170212766
55,dam,0.5970149253731343,0.8009950248756219
56,bookstore,0.6030927835051546,0.788659793814433
57,fountain,0.6043956043956044,0.7582417582417582
58,cemetery,0.6051282051282051,0.8
59,bathroom,0.6071428571428571,0.8877551020408163
60,highway,0.6105263157894737,0.8842105263157894
61,fire_station,0.6113744075829384,0.8293838862559242
62,dining_room,0.6336633663366337,0.8712871287128713
63,kindergarden_classroom,0.6341463414634146,0.8536585365853658
64,shed,0.6417112299465241,0.893048128342246
65,aqueduct,0.6428571428571429,0.8461538461538461
66,auditorium,0.6467889908256881,0.8990825688073395
67,amphitheater,0.6477732793522267,0.8340080971659919
68,badlands,0.6515151515151515,0.9090909090909091
69,swamp,0.6528497409326425,0.9015544041450777
70,desert_sand,0.655,0.9
71,gas_station,0.6617647058823529,0.8872549019607843
72,staircase,0.6632124352331606,0.8238341968911918
73,ski_slope,0.6868686868686869,0.9141414141414141
74,bowling_alley,0.7028301886792453,0.8490566037735849
75,railroad_track,0.7038834951456311,0.8592233009708737
76,ice_skating_rink_outdoor,0.7076923076923077,0.882051282051282
77,subway_station_platform,0.7121212121212122,0.9141414141414141
78,corridor,0.7121951219512195,0.8731707317073171
79,aquarium,0.7135678391959799,0.8894472361809045
80,bedroom,0.7184466019417476,0.9077669902912622
81,laundromat,0.7330097087378641,0.9029126213592233
82,golf_course,0.7365591397849462,0.9032258064516129
83,lighthouse,0.7393364928909952,0.8625592417061612
84,kitchen,0.7512437810945274,0.8756218905472637
85,baseball_field,0.7548076923076923,0.9182692307692307
86,stadium_football,0.7616822429906542,0.9672897196261683
87,iceberg,0.772020725388601,0.9015544041450777
88,corn_field,0.7722772277227723,0.9108910891089109
89,rock_arch,0.7806122448979592,0.9081632653061225
90,skyscraper,0.7818181818181819,0.8909090909090909
91,phone_booth,0.783410138248848,0.8940092165898618
92,boxing_ring,0.7923497267759563,0.9344262295081968
93,swimming_pool_outdoor,0.7961165048543689,0.9466019417475728
94,racecourse,0.7989949748743719,0.9095477386934674
95,runway,0.8157894736842105,0.9315789473684211
96,cockpit,0.8477157360406091,0.9289340101522843
97,bamboo_forest,0.861904761904762,0.9857142857142858
98,track_outdoor,0.8673469387755102,0.9591836734693877
99,bus_interior,0.8870967741935484,0.956989247311828
100,Total,tensor(0.5691),tensor(0.8504)
